name,team,age,position,country,height_cm,weight_kg,jersey_number,key_stats_goals,key_stats_assists,key_stats_shot_accuracy,key_stats_pass_accuracy,defence_tackles,defence_tackles_won,defence_duels,defence_duels_won,defence_aerial_duels_won,defence_clearances,defence_blocked_shots,defence_interceptions,distribution_assists,distribution_total_passes,distribution_pass_accuracy,distribution_passes_90_minutes,distribution_touches_game,distribution_total_crosses,distribution_cross_accuracy,offense_goals,offense_minutes_goal,offense_shot_accuracy,offense_right_foot_goals,offense_left_foot_goals,offense_headed_goals,offense_goals_inside_the_box,offense_goals_outside_the_box,offense_other_goals,offense_successful_dribbles,offense_offsides,discipline_yellow_cards,discipline_yellow_red_cards,discipline_red_cards,discipline_fouls_conceded,discipline_fouls_won
Matt Turner,Nottingham Forest,29,Goalkeeper,United States of America,191,84,1,0,0,0.00,63.7,0,0.0,6,100.00 %,100.00 %,10,0,0,0,419,63.7 %,27.93,612,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,0,3
Odisseas Vlachodimos,Nottingham Forest,29,Goalkeeper,Greece,188,78,23,0,0,0.00,79.1,0,0.0,2,50.00 %,0.00 %,5,0,0,0,153,79.1 %,30.60,197,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,1
Wayne Hennessey,Nottingham Forest,36,Goalkeeper,Wales,198,90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Omobamidele,Nottingham Forest,21,Defender,Ireland,188,0,32,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Felipe,Nottingham Forest,34,Defender,Brazil,190,83,18,0,0,0.00,83.5,5,80.0,17,58.82 %,80.00 %,4,1,1,0,91,83.5 %,61.58,110,0,0.00,0,0,0.00 %,0,0,0,0,0,0,1,0,1,0,0,5,0
Gonzalo Montiel,Nottingham Forest,27,Defender,Argentina,175,68,29,0,1,0.00,81.8,9,77.8,21,52.38 %,50.00 %,13,1,2,1,137,81.8 %,39.65,205,7,0.00,0,0,0.00 %,0,0,0,0,0,0,0,1,3,0,0,5,0
Harry Toffolo,Nottingham Forest,28,Defender,England,183,71,15,1,3,71.43,76.4,15,40.0,64,48.44 %,56.00 %,26,9,11,3,313,76.4 %,30.55,512,21,33.33,1,922.0,71.43 %,0,0,1,1,0,0,1,0,2,0,0,11,1
Joe Worrall,Nottingham Forest,26,Defender,England,193,64,4,0,0,0.00,84.5,7,71.4,37,56.76 %,54.55 %,31,4,3,0,161,84.5 %,33.01,220,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,1,3,2
Moussa Niakhaté,Nottingham Forest,27,Defender,Senegal,190,82,19,0,0,0.00,85.0,27,70.4,57,71.93 %,71.43 %,36,8,9,0,446,85.0 %,41.00,621,9,11.11,0,0,0.00 %,0,0,0,0,0,0,2,0,2,1,1,8,2
Murillo,Nottingham Forest,21,Defender,Brazil,180,75,40,0,1,37.50,79.7,22,59.1,123,47.97 %,44.19 %,82,9,12,1,654,79.7 %,47.74,875,2,50.00,0,0,37.50 %,0,0,0,0,0,0,15,0,2,0,0,11,3
Neco Williams,Nottingham Forest,22,Defender,Wales,183,72,7,0,1,0.00,62.3,33,63.6,90,60.00 %,69.23 %,14,4,11,1,146,62.3 %,30.70,345,19,42.11,0,0,0.00 %,0,0,0,0,0,0,3,0,1,0,0,5,9
Nuno Tavares,Nottingham Forest,23,Defender,Portugal,183,75,3,0,0,0.00,77.8,2,100.0,7,42.86 %,0.00 %,3,0,0,0,27,77.8 %,25.85,48,3,33.33,0,0,0.00 %,0,0,0,0,0,0,1,0,2,0,0,2,0
Ola Aina,Nottingham Forest,27,Defender,Nigeria,184,82,43,1,1,25.00,76.8,26,57.7,103,58.25 %,57.89 %,29,3,8,1,319,76.8 %,28.88,555,11,18.18,1,994.0,25.00 %,1,0,0,0,1,0,11,2,3,0,0,13,12
Richie Laryea,Nottingham Forest,28,Defender,Canada,175,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McKenna,Nottingham Forest,27,Defender,Scotland,189,74,26,0,0,0.00,77.5,4,0.0,33,78.79 %,86.96 %,25,4,5,0,169,77.5 %,36.47,246,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,3,2
Serge Aurier,Nottingham Forest,31,Defender,Côte d'Ivoire,176,76,24,0,2,20.00,80.6,20,70.0,115,53.91 %,60.00 %,32,3,9,2,391,80.6 %,42.19,590,21,19.05,0,0,20.00 %,0,0,0,0,0,0,3,0,2,0,0,8,9
Willy Boly,Nottingham Forest,32,Defender,Côte d'Ivoire,195,92,30,1,0,55.56,77.6,30,60.0,128,60.16 %,64.71 %,65,14,20,0,465,77.6 %,41.89,694,1,0.00,1,999.0,55.56 %,0,0,1,1,0,0,2,1,1,1,1,15,1
Brandon Aguilera,Nottingham Forest,20,Midfielder,Costa Rica,179,60,41,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,Nottingham Forest,34,Midfielder,Senegal,189,83,8,0,0,25.00,64.7,8,62.5,39,53.85 %,52.63 %,9,1,2,0,68,64.7 %,30.15,109,0,0.00,0,0,25.00 %,0,0,0,0,0,0,1,0,2,0,0,3,2
Danilo,Nottingham Forest,22,Midfielder,Brazil,176,69,28,0,0,25.00,77.7,9,33.3,49,46.94 %,61.54 %,10,1,13,0,238,77.7 %,32.45,326,2,0.00,0,0,25.00 %,0,0,0,0,0,0,4,2,1,0,0,2,3
Ibrahim Sangaré,Nottingham Forest,26,Midfielder,Côte d'Ivoire,191,77,6,0,0,0.00,81.8,32,50.0,104,48.08 %,36.36 %,17,6,10,0,330,81.8 %,35.96,472,2,0.00,0,0,0.00 %,0,0,0,0,0,0,4,1,5,0,0,17,7
Morgan Gibbs-White,Nottingham Forest,23,Midfielder,England,171,0,10,2,3,31.82,72.9,26,69.2,234,51.28 %,49.32 %,12,2,9,3,627,72.9 %,33.45,1043,33,33.33,2,843.5,31.82 %,2,0,0,1,1,0,27,3,4,0,0,17,32
Nicolás Domínguez,Nottingham Forest,25,Midfielder,Argentina,179,73,16,2,0,55.56,84.2,31,61.3,84,59.52 %,52.63 %,14,0,6,0,341,84.2 %,41.31,471,4,25.00,2,371.5,55.56 %,1,0,1,2,0,0,1,2,1,0,0,8,8
Orel Mangala,Nottingham Forest,25,Midfielder,Belgium,178,80,5,1,0,16.67,88.7,24,50.0,128,47.66 %,55.56 %,24,6,22,0,568,88.7 %,36.31,765,2,50.00,1,1408.0,16.67 %,1,0,0,0,1,0,13,0,5,0,0,22,19
Ryan Yates,Nottingham Forest,26,Midfielder,England,190,87,22,0,0,33.33,75.4,35,57.1,155,56.13 %,48.89 %,20,7,10,0,341,75.4 %,34.25,528,4,25.00,0,0,33.33 %,0,0,0,0,0,0,3,1,3,0,0,30,27
Anthony Elanga,Nottingham Forest,21,Forward,Sweden,178,70,21,4,6,60.00,71.0,19,63.2,147,42.86 %,30.00 %,7,2,7,6,359,71.0 %,23.74,644,37,13.51,4,340.2,60.00 %,2,1,1,4,0,0,15,16,1,0,0,6,17
Callum Hudson-Odoi,Nottingham Forest,23,Forward,England,182,76,14,1,0,100.00,85.3,2,50.0,55,38.18 %,20.00 %,5,0,2,0,170,85.3 %,31.68,267,22,13.64,1,483.0,100.00 %,1,0,0,0,1,0,13,2,0,0,0,7,5
Christopher Wood,Nottingham Forest,32,Forward,New Zealand,191,81,11,7,1,64.71,59.3,2,100.0,109,44.95 %,49.33 %,16,3,1,1,182,59.3 %,22.44,293,2,0.00,7,104.3,64.71 %,0,4,3,7,0,0,4,2,0,0,0,12,6
Divock Origi,Nottingham Forest,28,Forward,Belgium,185,75,27,0,0,50.00,69.2,0,0.0,29,31.03 %,18.18 %,0,0,0,0,26,69.2 %,13.15,65,2,50.00,0,0,50.00 %,0,0,0,0,0,0,3,1,1,0,0,3,4
Taiwo Awoniyi,Nottingham Forest,26,Forward,Nigeria,183,84,9,4,2,45.45,72.8,5,60.0,77,42.86 %,39.47 %,8,0,0,2,114,72.8 %,15.27,210,1,0.00,4,168.0,45.45 %,3,0,1,4,0,0,6,9,1,0,0,8,7
Ellery Balcombe,Brentford,24,Goalkeeper,England,190,92,40,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Flekken,Brentford,30,Goalkeeper,Netherlands,195,87,1,0,0,0.00,73.6,0,0.0,12,66.67 %,100.00 %,15,0,0,0,717,73.6 %,40.97,867,0,0.00,0,0,0.00 %,0,0,0,0,0,0,2,0,1,0,0,1,2
Thomas Strakosha,Brentford,28,Goalkeeper,Albania,186,78,21,0,0,0.00,71.2,0,0.0,1,100.00 %,100.00 %,1,0,0,0,66,71.2 %,44.00,81,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,1
Vincent Angelini,Brentford,20,Goalkeeper,Scotland,186,0,41,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Hickey,Brentford,21,Defender,Scotland,178,72,2,0,0,20.00,89.3,16,56.2,67,56.72 %,18.18 %,10,3,3,0,252,89.3 %,31.50,381,5,0.00,0,0,20.00 %,0,0,0,0,0,0,5,0,5,0,0,10,16
Ben Mee,Brentford,34,Defender,England,180,74,16,1,0,25.00,78.5,11,81.8,65,44.62 %,41.03 %,26,5,7,0,363,78.5 %,48.40,472,4,50.00,1,675.0,25.00 %,0,0,1,1,0,0,2,1,0,0,1,3,0
Charlie Goode,Brentford,28,Defender,England,196,89,4,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Pinnock,Brentford,30,Defender,Jamaica,187,79,5,1,0,30.00,85.0,27,63.0,171,70.18 %,69.83 %,114,15,34,0,1053,85.0 %,55.42,1340,4,0.00,1,1710.0,30.00 %,0,0,1,1,0,0,6,0,0,0,0,2,7
Kim Ji-Soo,Brentford,19,Defender,"Korea, South",192,75,36,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Kristoffer Ajer,Brentford,25,Defender,Norway,198,92,20,0,1,25.00,75.0,17,52.9,81,61.73 %,77.42 %,24,1,5,1,332,75.0 %,41.10,474,6,33.33,0,0,25.00 %,0,0,0,0,0,0,6,1,4,0,0,13,3
Mads Roerslev,Brentford,24,Defender,Denmark,184,77,30,0,1,0.00,67.9,19,63.2,79,41.77 %,16.67 %,26,1,8,1,280,67.9 %,34.38,445,25,40.00,0,0,0.00 %,0,0,0,0,0,0,5,0,0,0,0,6,6
Mathias Jørgensen,Brentford,33,Defender,Denmark,191,79,13,0,0,0.00,68.2,3,66.7,13,46.15 %,0.00 %,6,1,3,0,107,68.2 %,51.50,148,4,25.00,0,0,0.00 %,0,0,0,0,0,0,2,0,0,0,0,3,1
Nathan Collins,Brentford,22,Defender,Ireland,193,0,22,1,1,14.29,85.2,15,53.3,102,64.71 %,65.00 %,63,9,20,1,837,85.2 %,63.14,1045,1,0.00,1,1193.0,14.29 %,0,0,1,1,0,0,7,2,2,0,0,5,5
Rico Henry,Brentford,26,Defender,England,170,67,3,0,1,0.00,84.6,7,71.4,42,57.14 %,40.00 %,5,3,5,1,156,84.6 %,34.93,251,11,18.18,0,0,0.00 %,0,0,0,0,0,0,7,2,1,0,0,4,6
Valintino Adedokun,Brentford,20,Defender,Ireland,0,0,42,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Mbeumo,Brentford,24,Midfielder,Cameroon,173,64,19,7,3,50.00,76.1,12,66.7,173,36.99 %,29.31 %,8,0,5,3,440,76.1 %,30.75,757,34,20.59,7,184.0,50.00 %,0,7,0,6,1,0,12,1,1,0,0,17,23
Christian Nørgaard,Brentford,29,Midfielder,Denmark,187,77,6,1,1,23.53,79.9,53,66.0,212,50.47 %,44.62 %,38,2,21,1,955,79.9 %,55.45,1257,16,25.00,1,1550.0,23.53 %,0,0,1,1,0,0,6,1,7,0,0,26,20
Ethan Brierley,Brentford,20,Midfielder,England,168,0,38,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Onyeka,Brentford,26,Midfielder,Nigeria,183,70,15,0,1,44.44,78.2,23,65.2,112,52.68 %,33.33 %,13,4,14,1,275,78.2 %,33.72,451,11,27.27,0,0,44.44 %,0,0,0,0,0,0,7,3,5,0,0,17,21
Josh Dasilva,Brentford,25,Midfielder,England,184,75,10,0,0,0.00,100.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,1,100.0 %,9.00,2,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Schade,Brentford,22,Midfielder,Germany,183,74,9,1,0,50.00,63.1,2,50.0,49,38.78 %,57.89 %,3,0,1,0,65,63.1 %,22.67,117,4,50.00,1,258.0,50.00 %,1,0,0,1,0,0,1,1,0,0,0,7,5
Mathias Jensen,Brentford,28,Midfielder,Denmark,180,68,8,3,2,71.43,79.0,27,55.6,113,42.48 %,42.86 %,11,2,8,2,480,79.0 %,43.20,733,18,22.22,3,333.3,71.43 %,2,1,0,2,1,0,7,0,2,0,0,16,12
Mikkel Damsgaard,Brentford,23,Midfielder,Denmark,180,66,24,0,0,100.00,78.7,9,33.3,40,42.50 %,33.33 %,2,1,3,0,127,78.7 %,49.06,191,7,14.29,0,0,100.00 %,0,0,0,0,0,0,4,2,0,0,0,5,3
Myles Peart-Harris,Brentford,21,Midfielder,England,187,0,25,0,0,0.00,71.4,0,0.0,11,18.18 %,0.00 %,1,0,0,0,7,71.4 %,57.27,15,1,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,2,2
Shandon Baptiste,Brentford,25,Midfielder,Grenada,175,67,26,1,0,100.00,72.9,4,100.0,25,48.00 %,42.86 %,4,1,3,0,70,72.9 %,32.98,107,0,0.00,1,191.0,100.00 %,1,0,0,1,0,0,5,0,0,0,0,2,0
Vitaly Janelt,Brentford,25,Midfielder,Germany,184,79,27,0,1,100.00,80.2,33,57.6,118,55.08 %,61.29 %,28,3,12,1,711,80.2 %,41.26,941,35,28.57,0,0,100.00 %,0,0,0,0,0,0,3,2,3,0,0,13,10
Yehor Yarmoliuk,Brentford,19,Midfielder,Ukraine,180,72,33,0,0,60.00,82.4,10,80.0,51,56.86 %,45.45 %,3,1,2,0,142,82.4 %,36.94,222,6,0.00,0,0,60.00 %,0,0,0,0,0,0,11,0,1,0,0,6,3
Yoane Wissa,Brentford,27,Midfielder,Congo (Kinshasa),176,74,11,4,1,50.00,72.2,17,64.7,180,47.78 %,41.54 %,8,2,6,1,259,72.2 %,15.02,495,11,36.36,4,388.0,50.00 %,2,2,0,4,0,0,13,10,2,0,0,21,29
Ivan Toney,Brentford,27,Forward,England,179,70,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keane Lewis-Potter,Brentford,22,Forward,England,170,67,23,2,0,53.85,77.5,10,30.0,72,48.61 %,30.77 %,5,1,2,0,142,77.5 %,22.11,269,23,13.04,2,289.0,53.85 %,1,1,0,2,0,0,12,3,0,0,0,4,9
Michael Olakigbe,Brentford,19,Forward,England,0,0,37,0,0,50.00,81.2,3,0.0,23,39.13 %,33.33 %,0,0,1,0,32,81.2 %,56.47,75,7,0.00,0,0,50.00 %,0,0,0,0,0,0,3,1,0,0,0,2,2
Neal Maupay,Brentford,27,Forward,France,173,69,7,2,3,63.16,75.2,6,83.3,101,37.62 %,23.53 %,4,0,1,3,218,75.2 %,24.49,368,6,33.33,2,400.5,63.16 %,1,0,1,2,0,0,6,3,3,0,0,11,18
Saman Ghoddos,Brentford,30,Forward,Iran,175,79,14,1,0,25.00,76.9,25,68.0,82,46.34 %,25.00 %,8,2,5,0,347,76.9 %,45.13,522,14,28.57,1,692.0,25.00 %,1,0,0,0,1,0,3,2,5,0,0,11,6
Andy Lonergan,Everton,40,Goalkeeper,England,192,87,31,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Crellin,Everton,23,Goalkeeper,England,185,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Pickford,Everton,29,Goalkeeper,England,185,82,1,0,0,0.00,59.5,0,0.0,5,80.00 %,0.00 %,15,0,0,0,704,59.5 %,35.20,872,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,3,0,0,1,4
João Virginia,Everton,24,Goalkeeper,Portugal,193,83,0,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Young,Everton,38,Defender,England,175,65,18,0,0,33.33,72.1,23,73.9,106,47.17 %,45.45 %,24,4,13,0,462,72.1 %,34.25,783,41,21.95,0,0,33.33 %,0,0,0,0,0,0,4,0,4,1,1,17,13
Ben Godfrey,Everton,25,Defender,England,183,74,0,0,0,0.00,76.5,1,100.0,6,33.33 %,33.33 %,3,0,2,0,34,76.5 %,33.63,43,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,1,0,0,0,2,0
Elijah Campbell,Everton,19,Defender,England,182,63,73,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
James Tarkowski,Everton,31,Defender,England,185,81,6,1,1,18.18,74.5,27,66.7,190,61.05 %,70.19 %,84,29,35,1,788,74.5 %,39.42,1064,2,100.00,1,1799.0,18.18 %,0,0,1,1,0,0,8,0,3,0,0,22,10
