name,team,age,position,country,height_cm,weight_kg,jersey_number,key_stats_goals,key_stats_assists,key_stats_shot_accuracy,key_stats_pass_accuracy,defence_tackles,defence_tackles_won,defence_duels,defence_duels_won,defence_aerial_duels_won,defence_clearances,defence_blocked_shots,defence_interceptions,distribution_assists,distribution_total_passes,distribution_pass_accuracy,distribution_passes_90_minutes,distribution_touches_game,distribution_total_crosses,distribution_cross_accuracy,offense_goals,offense_minutes_goal,offense_shot_accuracy,offense_right_foot_goals,offense_left_foot_goals,offense_headed_goals,offense_goals_inside_the_box,offense_goals_outside_the_box,offense_other_goals,offense_successful_dribbles,offense_offsides,discipline_yellow_cards,discipline_yellow_red_cards,discipline_red_cards,discipline_fouls_conceded,discipline_fouls_won
Jarrad Branthwaite,Everton,21,Defender,England,195,67,32,0,0,25.00,79.4,34,52.9,136,66.18 %,64.71 %,79,12,30,0,652,79.4 %,38.35,876,1,100.00,0,0,25.00 %,0,0,0,0,0,0,3,1,6,0,0,19,9
Michael Keane,Everton,30,Defender,England,191,82,0,1,0,80.00,78.4,7,42.9,45,53.33 %,61.54 %,18,4,5,0,194,78.4 %,43.22,247,0,0.00,1,404.0,80.00 %,1,0,0,1,0,0,1,0,1,0,0,4,0
Nathan Patterson,Everton,22,Defender,Scotland,189,83,2,0,2,0.00,73.5,30,70.0,112,41.96 %,37.50 %,27,3,9,2,378,73.5 %,35.96,654,29,20.69,0,0,0.00 %,0,0,0,0,0,0,6,1,4,0,0,17,5
Seamus Coleman,Everton,35,Defender,Ireland,177,67,0,0,0,0.00,75.8,2,100.0,7,85.71 %,0.00 %,4,0,1,0,33,75.8 %,31.60,57,3,0.00,0,0,0.00 %,0,0,0,0,0,0,3,0,0,0,0,0,1
Vitaliy Mykolenko,Everton,24,Defender,Ukraine,180,71,19,2,0,41.67,74.7,52,57.7,140,55.00 %,40.74 %,45,6,27,0,458,74.7 %,30.58,860,30,20.00,2,674.0,41.67 %,1,0,1,2,0,0,11,0,1,0,0,15,3
Abdoulaye Doucoure,Everton,31,Midfielder,Mali,184,75,16,6,1,65.22,79.9,24,58.3,156,34.62 %,30.77 %,10,2,11,1,478,79.9 %,29.83,711,15,13.33,6,240.3,65.22 %,5,1,0,6,0,0,15,6,4,0,0,30,3
Amadou Onana,Everton,22,Midfielder,Belgium,192,76,8,1,0,28.57,84.8,41,61.0,173,64.74 %,71.15 %,15,2,9,0,617,84.8 %,42.20,809,3,33.33,1,1316.0,28.57 %,0,0,1,1,0,0,7,1,2,0,0,25,28
André Gomes,Everton,30,Midfielder,Portugal,188,84,0,1,0,50.00,76.3,1,100.0,13,15.38 %,0.00 %,0,0,0,0,59,76.3 %,33.61,82,4,25.00,1,158.0,50.00 %,1,0,0,1,0,0,1,0,2,0,0,7,0
Dele Alli,Everton,27,Midfielder,England,188,76,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idrissa Gueye,Everton,34,Midfielder,Senegal,174,66,27,1,0,37.50,84.3,32,62.5,118,50.85 %,41.67 %,10,3,11,0,466,84.3 %,41.40,624,9,11.11,1,1013.0,37.50 %,0,1,0,1,0,0,7,0,6,0,0,21,17
Jack Harrison,Everton,27,Midfielder,England,175,70,0,2,3,60.00,68.9,17,47.1,126,40.48 %,40.00 %,14,0,5,3,257,68.9 %,20.65,508,40,22.50,2,560.0,60.00 %,0,2,0,1,1,0,14,1,0,0,0,11,15
James Garner,Everton,22,Midfielder,England,186,78,37,1,1,40.00,81.3,49,53.1,178,55.62 %,48.39 %,25,7,23,1,561,81.3 %,31.40,896,23,17.39,1,1608.0,40.00 %,1,0,0,0,1,0,10,1,3,0,0,19,26
Jenson Metcalfe,Everton,19,Midfielder,England,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Hunt,Everton,22,Midfielder,England,0,0,58,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Onyango,Everton,20,Midfielder,England,190,76,0,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnaut Danjuma,Everton,26,Forward,Netherlands,178,74,10,1,0,61.54,72.4,3,66.7,43,41.86 %,42.86 %,0,0,2,0,116,72.4 %,24.00,201,7,0.00,1,435.0,61.54 %,0,1,0,1,0,0,7,2,0,0,0,3,5
Beto,Everton,25,Forward,Portugal,194,88,14,1,0,19.05,57.6,11,45.5,128,46.88 %,51.67 %,8,0,0,0,99,57.6 %,17.50,242,3,0.00,1,509.0,19.05 %,1,0,0,1,0,0,9,2,1,0,0,10,9
Dominic Calvert-Lewin,Everton,26,Forward,England,187,71,9,3,0,46.67,56.6,6,33.3,207,38.65 %,43.57 %,13,2,1,0,219,56.6 %,18.20,387,2,0.00,3,361.0,46.67 %,2,1,0,3,0,0,5,9,1,0,0,17,9
Dwight McNeil,Everton,24,Forward,England,183,68,7,2,4,42.86,74.4,23,47.8,151,42.38 %,54.55 %,13,4,12,4,445,74.4 %,29.25,834,67,17.91,2,684.5,42.86 %,0,2,0,2,0,0,15,4,1,0,0,10,14
Lewis Dobbin,Everton,21,Forward,England,175,0,61,1,0,66.67,76.7,4,100.0,34,44.12 %,50.00 %,0,1,1,0,30,76.7 %,16.07,88,6,0.00,1,168.0,66.67 %,0,1,0,1,0,0,5,0,0,0,0,1,5
Youssef Chermiti,Everton,19,Forward,Portugal,192,84,0,0,0,0.00,62.5,0,0.0,23,34.78 %,46.67 %,0,0,0,0,16,62.5 %,31.30,36,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,1,1,0,0,1,1
James Shea,Luton Town,32,Goalkeeper,England,185,76,1,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Kaminski,Luton Town,31,Goalkeeper,Belgium,190,78,24,0,0,0.00,48.1,0,0.0,4,75.00 %,100.00 %,15,0,0,0,628,48.1 %,33.05,811,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,3,0,0,0,1
Tim Krul,Luton Town,35,Goalkeeper,Netherlands,188,84,23,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Amari Bell,Luton Town,29,Defender,Jamaica,180,66,29,0,0,100.00,76.9,33,63.6,116,52.59 %,39.39 %,41,8,17,0,454,76.9 %,34.72,671,9,11.11,0,0,100.00 %,0,0,0,0,0,0,5,0,0,0,0,13,10
Daniel Potts,Luton Town,29,Defender,England,172,70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Osho,Luton Town,25,Defender,England,0,0,32,1,0,100.00,80.1,14,64.3,62,48.39 %,41.38 %,46,12,16,0,216,80.1 %,25.02,349,1,0.00,1,777.0,100.00 %,0,0,1,1,0,0,2,0,1,0,0,8,2
Issa Kaboré,Luton Town,22,Defender,Burkina Faso,180,77,12,0,1,25.00,74.2,33,54.5,127,52.76 %,48.00 %,27,5,12,1,287,74.2 %,24.58,602,38,26.32,0,0,25.00 %,0,0,0,0,0,0,10,1,4,0,0,21,13
Joe Johnson,Luton Town,17,Defender,England,180,0,38,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Mads Andersen,Luton Town,26,Defender,Denmark,194,81,5,1,0,33.33,73.9,6,83.3,31,61.29 %,64.71 %,29,6,8,0,115,73.9 %,25.94,186,0,0.00,1,399.0,33.33 %,0,0,1,1,0,0,0,0,1,0,0,6,2
Reece Burke,Luton Town,27,Defender,England,188,81,16,0,1,33.33,70.6,12,58.3,70,60.00 %,63.89 %,24,6,7,1,197,70.6 %,29.70,298,7,14.29,0,0,33.33 %,0,0,0,0,0,0,1,0,1,0,0,6,6
Teden Mengi,Luton Town,21,Defender,England,183,78,15,1,0,42.86,74.0,25,36.0,90,55.56 %,51.35 %,55,10,27,0,346,74.0 %,27.53,527,1,0.00,1,1131.0,42.86 %,1,0,0,1,0,0,4,1,2,0,0,12,2
Tom Lockyer,Luton Town,29,Defender,Wales,185,72,4,1,1,16.67,71.5,25,64.0,112,62.50 %,64.58 %,66,13,23,1,418,71.5 %,32.13,618,1,0.00,1,1171.0,16.67 %,0,1,0,1,0,0,4,0,4,0,0,15,10
Albert Sambi Lokonga,Luton Town,24,Midfielder,Belgium,173,67,28,0,1,100.00,88.6,8,50.0,44,50.00 %,45.45 %,3,4,1,1,185,88.6 %,40.81,248,3,0.00,0,0,100.00 %,0,0,0,0,0,0,1,0,0,0,0,8,8
Alfie Doughty,Luton Town,24,Midfielder,England,183,0,45,1,4,50.00,70.7,30,66.7,127,55.12 %,78.26 %,20,1,17,4,434,70.7 %,29.55,904,66,21.21,1,1322.0,50.00 %,0,1,0,1,0,0,21,3,2,0,0,14,1
Andros Townsend,Luton Town,32,Midfielder,England,181,77,30,1,2,62.50,79.2,12,75.0,63,41.27 %,0.00 %,2,0,4,2,154,79.2 %,22.21,304,31,16.13,1,624.0,62.50 %,0,0,1,1,0,0,9,1,0,0,0,8,5
Jake Burger,Luton Town,19,Midfielder,England,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Luker,Luton Town,18,Midfielder,England,0,0,47,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Clark,Luton Town,30,Midfielder,England,183,71,18,0,0,0.00,73.7,3,0.0,10,50.00 %,100.00 %,3,1,0,0,38,73.7 %,43.29,52,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,2,1
Luke Berry,Luton Town,31,Midfielder,England,177,72,8,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,3,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvelous Nakamba,Luton Town,29,Midfielder,Zimbabwe,178,71,13,0,0,0.00,84.8,40,60.0,113,49.56 %,36.36 %,11,6,11,0,415,84.8 %,32.97,571,4,25.00,0,0,0.00 %,0,0,0,0,0,0,3,0,5,0,0,24,9
Pelly Mpanzu,Luton Town,29,Midfielder,Congo (Kinshasa),175,63,17,0,0,0.00,71.5,8,12.5,63,44.44 %,45.00 %,13,4,6,0,214,71.5 %,26.31,331,8,25.00,0,0,0.00 %,0,0,0,0,0,0,4,0,0,0,0,5,7
Ross Barkley,Luton Town,30,Midfielder,England,189,76,6,2,1,28.57,82.9,17,41.2,160,51.25 %,55.88 %,19,6,12,1,508,82.9 %,42.53,744,3,0.00,2,537.5,28.57 %,0,1,1,2,0,0,29,0,3,0,0,12,19
Ryan Giles,Luton Town,23,Midfielder,England,179,72,26,0,0,100.00,73.4,8,75.0,28,60.71 %,100.00 %,20,0,4,0,128,73.4 %,22.99,278,31,19.35,0,0,100.00 %,0,0,0,0,0,0,4,0,0,0,0,2,2
Tahith Chong,Luton Town,24,Midfielder,Netherlands,185,75,14,1,0,50.00,82.2,17,47.1,95,54.74 %,33.33 %,2,2,3,0,169,82.2 %,20.84,324,13,46.15,1,730.0,50.00 %,0,1,0,1,0,0,5,2,3,0,0,8,27
Zack Nelson,Luton Town,18,Midfielder,England,0,0,43,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlton Morris,Luton Town,28,Forward,England,185,85,9,3,2,40.00,61.6,7,57.1,250,40.00 %,42.14 %,18,1,1,2,323,61.6 %,23.22,533,6,0.00,3,417.3,40.00 %,3,0,0,3,0,0,15,6,1,0,0,24,12
Cauley Woodrow,Luton Town,29,Forward,England,184,78,10,0,0,33.33,62.9,6,66.7,23,52.17 %,44.44 %,1,0,0,0,35,62.9 %,42.00,65,3,33.33,0,0,33.33 %,0,0,0,0,0,0,2,0,0,0,0,1,0
Chiedozie Ogbene,Luton Town,26,Forward,Ireland,181,78,7,1,1,60.00,78.2,13,61.5,126,59.52 %,52.63 %,14,1,4,1,257,78.2 %,22.90,532,44,13.64,1,1010.0,60.00 %,1,0,0,1,0,0,26,4,0,0,0,5,26
Elijah Adebayo,Luton Town,25,Forward,England,193,89,11,5,0,46.67,74.6,1,0.0,141,34.75 %,48.33 %,15,1,4,0,130,74.6 %,14.23,320,2,0.00,5,164.4,46.67 %,3,0,2,5,0,0,9,9,1,0,0,16,10
Jacob Brown,Luton Town,25,Forward,Scotland,178,62,19,2,0,43.75,57.0,19,63.2,201,40.80 %,43.48 %,16,1,8,0,221,57.0 %,19.73,453,10,30.00,2,504.0,43.75 %,1,1,0,1,1,0,4,6,4,0,0,18,19
Arijanet Muric,Burnley,25,Goalkeeper,Kosovo,198,81,49,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Franchi,Burnley,21,Goalkeeper,Italy,189,81,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Trafford,Burnley,21,Goalkeeper,England,197,83,1,0,0,0.00,66.7,2,50.0,20,85.00 %,81.25 %,27,0,1,0,940,66.7 %,47.00,1214,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,0,4
Lawrence Vigouroux,Burnley,30,Goalkeeper,Chile,194,77,29,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameen Al Dakhil,Burnley,21,Defender,Belgium,187,70,28,0,0,50.00,85.9,9,44.4,65,41.54 %,40.00 %,28,4,8,0,555,85.9 %,57.09,674,2,50.00,0,0,50.00 %,0,0,0,0,0,0,2,0,1,0,0,6,4
Charlie Taylor,Burnley,30,Defender,England,176,70,3,1,1,20.00,80.7,26,53.8,127,52.76 %,52.08 %,45,7,15,1,652,80.7 %,40.75,977,33,15.15,1,1440.0,20.00 %,0,1,0,0,1,0,6,0,6,0,0,14,10
Connor Roberts,Burnley,28,Defender,Wales,175,72,14,0,1,0.00,85.2,12,41.7,48,52.08 %,41.67 %,21,6,4,1,391,85.2 %,45.58,548,9,22.22,0,0,0.00 %,0,0,0,0,0,0,0,3,2,1,1,4,9
Conrad Egan-Riley,Burnley,21,Defender,England,183,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara O'Shea,Burnley,24,Defender,Ireland,188,0,2,0,3,28.57,81.3,16,50.0,121,64.46 %,72.97 %,74,16,18,3,935,81.3 %,60.63,1124,6,16.67,0,0,28.57 %,0,0,0,0,0,0,1,0,3,0,0,18,7
Hannes Delcroix,Burnley,24,Defender,Belgium,185,78,44,0,0,50.00,89.8,6,50.0,24,54.17 %,50.00 %,11,1,8,0,256,89.8 %,60.16,314,1,0.00,0,0,50.00 %,0,0,0,0,0,0,1,0,1,0,0,4,0
Hjalmar Ekdal,Burnley,25,Defender,Sweden,188,77,18,0,0,0.00,89.5,0,0.0,10,30.00 %,16.67 %,6,0,2,0,76,89.5 %,65.77,88,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,2,2
Jordan Beyer,Burnley,23,Defender,Germany,187,80,5,0,1,0.00,89.1,35,57.1,123,59.35 %,52.73 %,68,15,16,1,855,89.1 %,62.11,1038,0,0.00,0,0,0.00 %,0,0,0,0,0,0,4,0,6,0,0,11,6
Owen Dodgson,Burnley,20,Defender,England,0,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitinho,Burnley,24,Defender,Brazil,175,72,22,0,0,0.00,80.3,29,48.3,125,49.60 %,59.09 %,20,1,6,0,422,80.3 %,33.40,717,28,7.14,0,0,0.00 %,0,0,0,0,0,0,11,1,0,0,0,13,9
Aaron Ramsey,Burnley,20,Midfielder,England,181,0,21,0,0,50.00,84.9,10,90.0,41,43.90 %,75.00 %,4,1,0,0,86,84.9 %,26.97,154,1,0.00,0,0,50.00 %,0,0,0,0,0,0,3,1,0,0,0,3,2
Han Massengo,Burnley,22,Midfielder,France,178,0,42,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,Burnley,34,Midfielder,England,183,70,4,0,0,0.00,60.0,1,0.0,6,16.67 %,0.00 %,0,0,0,0,15,60.0 %,84.38,17,1,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,1,0
Josh Brownhill,Burnley,28,Midfielder,England,180,69,8,3,0,46.67,80.8,35,74.3,137,57.66 %,58.54 %,21,3,24,0,687,80.8 %,41.22,923,12,0.00,3,500.0,46.67 %,1,2,0,2,1,0,3,1,2,0,0,20,18
Joshua Cullen,Burnley,27,Midfielder,Ireland,175,70,24,0,1,0.00,85.8,16,68.8,82,54.88 %,46.67 %,11,7,7,1,537,85.8 %,57.13,644,2,50.00,0,0,0.00 %,0,0,0,0,0,0,1,0,5,0,0,14,23
Jóhann Guðmundsson,Burnley,33,Midfielder,Iceland,186,78,7,0,2,33.33,81.0,11,36.4,64,53.12 %,56.25 %,8,0,11,2,300,81.0 %,35.62,447,13,30.77,0,0,33.33 %,0,0,0,0,0,0,2,1,2,0,0,7,12
Nathan Redmond,Burnley,29,Midfielder,England,173,69,15,0,0,0.00,69.1,2,50.0,21,42.86 %,50.00 %,3,0,0,0,68,69.1 %,46.36,95,3,33.33,0,0,0.00 %,0,0,0,0,0,0,4,2,1,0,0,4,2
Sander Berge,Burnley,25,Midfielder,Norway,195,96,16,1,1,22.22,87.4,34,55.9,170,52.94 %,61.90 %,27,10,11,1,667,87.4 %,40.67,879,8,12.50,1,1476.0,22.22 %,1,0,0,0,1,0,9,1,4,1,1,23,9
Anass Zaroury,Burnley,23,Forward,Morocco,176,70,19,0,0,50.00,67.3,1,0.0,18,22.22 %,0.00 %,1,0,0,0,52,67.3 %,34.93,80,6,0.00,0,0,50.00 %,0,0,0,0,0,0,1,0,0,0,1,4,2
Benson Manuel,Burnley,26,Forward,Belgium,178,68,10,0,0,50.00,95.5,2,100.0,17,35.29 %,0.00 %,0,0,0,0,22,95.5 %,27.12,47,5,20.00,0,0,50.00 %,0,0,0,0,0,0,3,0,0,0,0,1,1
Darko Churlinov,Burnley,23,Forward,North Macedonia,171,73,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enock Agyei,Burnley,18,Forward,Belgium,172,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Bruun Larsen,Burnley,25,Forward,Denmark,183,77,34,2,0,42.86,77.1,4,50.0,58,36.21 %,31.25 %,5,0,2,0,157,77.1 %,31.40,264,8,0.00,2,225.0,42.86 %,0,2,0,1,1,0,7,5,0,0,0,7,5
Jay Rodriguez,Burnley,34,Forward,England,185,84,9,2,1,53.85,65.5,12,66.7,95,38.95 %,31.48 %,6,1,1,1,171,65.5 %,22.08,266,1,0.00,2,348.5,53.85 %,1,0,1,2,0,0,4,6,0,0,0,13,4
Luca Koleosho,Burnley,19,Forward,Italy,175,68,30,1,1,29.41,76.0,7,57.1,161,34.16 %,6.90 %,0,0,2,1,246,76.0 %,22.50,471,23,8.70,1,984.0,29.41 %,1,0,0,1,0,0,33,8,0,0,0,18,13
Lyle Foster,Burnley,23,Forward,South Africa,185,70,17,4,3,57.14,68.8,12,33.3,146,34.93 %,30.38 %,13,3,1,3,192,68.8 %,19.33,342,3,0.00,4,223.5,57.14 %,2,2,0,4,0,0,7,10,0,0,1,14,8
Michael Obafemi,Burnley,23,Forward,Ireland,169,71,45,0,0,0.00,80.0,0,0.0,5,60.00 %,0.00 %,0,0,0,0,5,80.0 %,23.68,13,0,0.00,0,0,0.00 %,0,0,0,0,0,0,3,0,0,0,0,0,0
Mike Trésor,Burnley,24,Forward,Belgium,172,64,31,0,0,0.00,77.3,9,55.6,51,43.14 %,12.50 %,1,0,0,0,141,77.3 %,32.29,241,13,7.69,0,0,0.00 %,0,0,0,0,0,0,10,2,0,0,0,0,2
Wilson Odobert,Burnley,19,Forward,France,182,0,47,3,1,62.50,76.8,12,75.0,74,45.95 %,0.00 %,4,1,2,1,125,76.8 %,19.70,246,8,12.50,3,190.3,62.50 %,2,1,0,1,2,0,16,1,2,0,0,4,6
Zeki Amdouni,Burnley,23,Forward,Switzerland,185,79,25,3,1,57.14,83.1,20,65.0,194,41.75 %,24.44 %,7,7,5,1,350,83.1 %,22.76,622,8,12.50,3,461.3,57.14 %,1,2,0,2,1,0,22,1,1,0,0,14,28
Adam Davies,Sheffield United,31,Goalkeeper,Wales,185,75,1,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Amissah,Sheffield United,22,Goalkeeper,Ghana,197,0,37,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes Foderingham,Sheffield United,32,Goalkeeper,England,185,75,18,0,0,0.00,53.3,3,33.3,19,84.21 %,83.33 %,18,0,0,0,627,53.3 %,31.35,854,0,0.00,0,0,0.00 %,0,0,0,0,0,0,2,0,2,0,0,1,10
Anel Ahmedhodžić,Sheffield United,24,Defender,Bosnia and Herzegovina,195,84,15,1,0,25.00,73.8,27,77.8,133,51.13 %,56.00 %,55,13,16,0,442,73.8 %,32.74,661,4,0.00,1,1215.0,25.00 %,1,0,0,1,0,0,6,1,5,0,0,20,7
Auston Trusty,Sheffield United,25,Defender,United States of America,191,84,5,0,0,0.00,74.0,26,69.2,107,54.21 %,53.19 %,68,11,13,0,334,74.0 %,25.41,544,1,100.00,0,0,0.00 %,0,0,0,0,0,0,1,2,3,0,0,11,7
Chris Basham,Sheffield United,35,Defender,England,190,80,6,0,0,0.00,76.4,7,28.6,41,48.78 %,50.00 %,17,4,5,0,123,76.4 %,34.81,195,4,0.00,0,0,0.00 %,0,0,0,0,0,0,3,2,1,0,0,3,3
Ciaran Brennan,Sheffield United,23,Defender,Ireland,189,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femi Seriki,Sheffield United,21,Defender,England,183,0,38,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
George Baldock,Sheffield United,30,Defender,Greece,178,71,2,0,1,0.00,74.1,17,52.9,97,48.45 %,55.56 %,25,8,9,1,294,74.1 %,31.69,491,17,23.53,0,0,0.00 %,0,0,0,0,0,0,5,1,4,0,0,17,12
Jack Robinson,Sheffield United,30,Defender,England,180,67,19,0,1,0.00,79.2,25,60.0,121,60.33 %,57.14 %,76,17,18,1,620,79.2 %,33.57,916,5,0.00,0,0,0.00 %,0,0,0,0,0,0,3,1,6,0,0,10,9
Jayden Bogle,Sheffield United,23,Defender,England,178,69,20,1,0,37.50,67.7,31,41.9,134,48.51 %,60.00 %,41,4,17,0,322,67.7 %,23.77,630,19,31.58,1,1219.0,37.50 %,1,0,0,1,0,0,7,3,6,0,0,20,12
Jili Buyabu,Sheffield United,20,Defender,England,182,0,40,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
John Egan,Sheffield United,31,Defender,Ireland,185,75,12,0,0,50.00,69.9,6,66.7,42,50.00 %,60.87 %,39,4,13,0,183,69.9 %,34.03,264,0,0.00,0,0,50.00 %,0,0,0,0,0,0,0,0,2,0,0,6,1
Luke Thomas,Sheffield United,22,Defender,England,181,0,0,0,0,25.00,73.5,20,45.0,88,54.55 %,40.00 %,22,5,10,0,275,73.5 %,26.96,458,12,33.33,0,0,25.00 %,0,0,0,0,0,0,5,0,3,0,0,10,13
Max Lowe,Sheffield United,26,Defender,England,175,74,3,0,0,0.00,67.9,17,52.9,44,54.55 %,33.33 %,10,2,5,0,56,67.9 %,16.21,137,5,20.00,0,0,0.00 %,0,0,0,0,0,0,1,1,1,0,0,5,3
Rhys Norrington-Davies,Sheffield United,24,Defender,Wales,181,68,33,0,0,0.00,100.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,1,100.0 %,90.00,1,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
Sai Sachdev,Sheffield United,18,Defender,England,0,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,Sheffield United,23,Defender,Algeria,176,68,27,0,0,33.33,74.3,11,45.5,32,56.25 %,0.00 %,12,1,6,0,70,74.3 %,22.66,134,1,0.00,0,0,33.33 %,0,0,0,0,0,0,4,0,1,0,0,4,3
Andre Brooks,Sheffield United,20,Midfielder,England,180,0,35,0,0,0.00,66.2,7,71.4,48,45.83 %,36.36 %,6,1,6,0,68,66.2 %,15.04,147,5,0.00,0,0,0.00 %,0,0,0,0,0,0,7,0,0,0,0,4,4
Anis Ben Slimane,Sheffield United,22,Midfielder,Tunisia,188,86,25,0,0,50.00,66.0,6,50.0,61,31.15 %,28.57 %,6,1,3,0,94,66.0 %,26.69,168,0,0.00,0,0,50.00 %,0,0,0,0,0,0,2,2,2,0,0,5,5
Ben Osborn,Sheffield United,29,Midfielder,England,176,75,23,0,0,0.00,76.2,5,20.0,26,30.77 %,25.00 %,9,0,1,0,122,76.2 %,35.42,197,8,37.50,0,0,0.00 %,0,0,0,0,0,0,0,0,2,0,0,2,1
Gustavo Hamer,Sheffield United,26,Midfielder,Netherlands,169,61,8,2,2,41.18,73.6,28,50.0,131,37.40 %,30.00 %,20,3,14,2,516,73.6 %,32.18,774,5,40.00,2,721.5,41.18 %,1,1,0,1,1,0,10,3,5,0,0,23,8
Ismaila Coulibaly,Sheffield United,23,Midfielder,Mali,183,68,17,0,0,0.00,0.0,0,0.0,0,0.00 %,0.00 %,0,0,0,0,0,0.0 %,0.00,0,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,0,0,0,0,0
James McAtee,Sheffield United,21,Midfielder,England,180,0,28,1,2,50.00,69.2,24,66.7,156,43.59 %,31.03 %,8,0,7,2,276,69.2 %,24.62,499,13,7.69,1,1009.0,50.00 %,0,1,0,1,0,0,18,1,2,0,0,8,19
John Fleck,Sheffield United,32,Midfielder,Scotland,170,72,4,0,0,0.00,72.5,1,0.0,15,33.33 %,22.22 %,1,0,0,0,40,72.5 %,40.45,50,0,0.00,0,0,0.00 %,0,0,0,0,0,0,0,0,1,0,0,2,2
Oliver Norwood,Sheffield United,32,Midfielder,Northern Ireland,180,75,16,1,0,54.55,71.5,35,60.0,108,50.00 %,46.43 %,34,6,18,0,748,71.5 %,52.88,960,10,20.00,1,1273.0,54.55 %,1,0,0,1,0,0,0,0,6,0,0,15,6
